,netParams.connParams.PYR->BC_AMPA.weight,netParams.connParams.PYR->OLM_AMPA.weight,netParams.connParams.PYR->PYR_AMPA.weight,PYR,BC,OLM
0,0.0036,0.0030908571428571,0.0001151428571428,1.78,11.3,5.28
1,0.0036,0.0030908571428571,0.0001434285714285,1.93,13.4,5.53
2,0.0036,0.0030908571428571,0.0001717142857142,1.99,12.3,5.82
3,0.0036,0.0030908571428571,0.0002,1.86,11.7,5.43
4,0.0036,0.0036,2.0000000000000003e-06,1.6,10.8,5.44
5,0.0036,0.0036,3.0285714285714288e-05,1.37,8.28,4.93
6,0.0036,0.0036,5.8571428571428575e-05,1.47,10.1,5.11
7,0.0036,0.0036,8.685714285714286e-05,1.65,10.7,5.68
8,0.0036,0.0036,0.0001151428571428,1.71,10.5,5.92
9,0.0036,0.0036,0.0001434285714285,1.78,11.5,6.04
10,0.0036,0.0036,0.0001717142857142,1.65,10.1,5.54
11,0.0036,0.0036,0.0002,1.86,11.2,6.49
